Recommended taxon name,Recommended taxon version,Reporting category,Designation,Designation abbreviation
Agrimonia eupatoria,NBNSYS0000003366,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Agrimonia eupatoria,NBNSYS0000003366,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Agrimonia procera,NBNSYS0000003367,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Agrimonia procera,NBNSYS0000003367,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Agrostemma githago,NBNSYS0000003004,Red listing based on 2001 IUCN guidelines,Waiting List,WL
Agrostis canina,NHMSYS0000455671,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Agrostis canina,NHMSYS0000455671,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Agrostis capillaris,NBNSYS0000002638,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Agrostis capillaris,NBNSYS0000002638,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Agrostis curtisii,NHMSYS0000455680,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Agrostis curtisii,NHMSYS0000455680,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Agrostis gigantea,NBNSYS0000002639,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Agrostis gigantea,NBNSYS0000002639,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Agrostis stolonifera,NBNSYS0000002640,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Agrostis stolonifera,NBNSYS0000002640,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Agrostis vinealis,NHMSYS0000455693,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Agrostis vinealis,NHMSYS0000455693,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Aira caryophyllea,NBNSYS0000002626,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Aira caryophyllea,NBNSYS0000002626,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Aira praecox,NBNSYS0000002625,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Aira praecox,NBNSYS0000002625,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Ajuga chamaepitys,NHMSYS0000455713,Wildlife and Countryside Act 1981,Schedule 8,WACA-Sch8
Ajuga chamaepitys,NHMSYS0000455713,Rare and scarce species (not based on IUCN criteria),Nationally Rare. Excludes Red Listed taxa,NR-excludes
Ajuga chamaepitys,NHMSYS0000455713,Red listing based on 2001 IUCN guidelines,Endangered,RedList_GB_post2001-EN
Ajuga chamaepitys,NHMSYS0000455713,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Ajuga chamaepitys,NHMSYS0000455713,Red listing based on 2001 IUCN guidelines,Endangered,RedList_ENG_post2001-EN
Ajuga chamaepitys,NHMSYS0000455713,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Ajuga pyramidalis,NBNSYS0000004271,The Wildlife (Northern Ireland) Order 1985,Schedule 8 - Part 1,W(NI)O-Sch8_part1
Ajuga pyramidalis,NBNSYS0000004271,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Ajuga pyramidalis,NBNSYS0000004271,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_GB_post2001-VU
Ajuga pyramidalis,NBNSYS0000004271,Biodiversity Lists - Northern Ireland,Priority Species (Northern Ireland),NI_Priority
